,COM,NAME,POP_15,geonameid,Department/feature_code
105,01133,Cressin-Rochefort,389,6424505.0,ADM4
106,01134,Crottet,1726,6424506.0,ADM4
107,01135,Crozet,2115,6615619.0,ADM4
108,01136,Cruzilles-lès-Mépillat,832,6424507.0,ADM4
109,01138,Culoz,3071,6424508.0,ADM4
110,01139,Curciat-Dongalon,446,6424509.0,ADM4
111,01140,Curtafond,771,6424510.0,ADM4
112,01142,Dagneux,4573,6424511.0,ADM4
113,01143,Divonne-les-Bains,9286,6424512.0,ADM4
114,01145,Dompierre-sur-Veyle,1161,6424514.0,ADM4
115,01146,Dompierre-sur-Chalaronne,429,6424515.0,ADM4
116,01147,Domsure,480,6424516.0,ADM4
117,01148,Dortan,1845,6612201.0,ADM4
118,01149,Douvres,1058,6424518.0,ADM4
119,01150,Drom,219,6424519.0,ADM4
120,01151,Druillat,1149,6424520.0,ADM4
121,01152,Échallon,762,6615621.0,ADM4
122,01153,Échenevex,2212,6424521.0,ADM4
123,01154,Étrez,820,6424522.0,ADM4
124,01155,Évosges,144,6424523.0,ADM4
125,01157,Fareins,2192,6424524.0,ADM4
126,01158,Farges,999,6453500.0,ADM4
127,01159,Feillens,3249,6424525.0,ADM4
128,01160,Ferney-Voltaire,9482,6615216.0,ADM4
129,01162,Flaxieu,67,6424527.0,ADM4
130,01163,Foissiat,2052,6424528.0,ADM4
131,01165,Francheleins,1548,6424529.0,ADM4
132,01166,Frans,2265,6424530.0,ADM4
133,01167,Garnerans,662,6424531.0,ADM4
134,01169,Genouilleux,590,6424532.0,ADM4
135,01170,Béard-Géovreissiat,1026,6424533.0,ADM4
136,01171,Géovreisset,909,6424534.0,ADM4
137,01173,Gex,11687,6424536.0,ADM4
138,01174,Giron,179,6424537.0,ADM4
139,01175,Gorrevod,854,6424538.0,ADM4
140,01177,Grand-Corent,177,6424539.0,ADM4
141,01179,Grièges,1891,6424540.0,ADM4
142,01180,Grilly,792,6424541.0,ADM4
143,01181,Groissiat,1213,6424542.0,ADM4
144,01183,Guéreins,1429,6424544.0,ADM4
145,01184,Hautecourt-Romanèche,792,6618066.0,ADM4
146,01185,Hauteville-Lompnes,3739,6424545.0,ADM4
147,01186,Hostiaz,87,6424546.0,ADM4
148,01187,Haut Valromey,693,6424547.0,ADM4
149,01188,Illiat,610,6424548.0,ADM4
150,01189,Injoux-Génissiat,1144,6618065.0,ADM4
151,01190,Innimond,106,6424549.0,ADM4
152,01191,Izenave,168,6424550.0,ADM4
153,01192,Izernore,2275,6424551.0,ADM4
154,01193,Izieu,239,6424552.0,ADM4
155,01194,Jassans-Riottier,6190,6424553.0,ADM4
156,01195,Jasseron,1735,6424554.0,ADM4
157,01196,Jayat,1145,6424555.0,ADM4
158,01197,Journans,355,6424556.0,ADM4
159,01198,Joyeux,278,6453501.0,ADM4
160,01199,Jujurieux,2191,6424557.0,ADM4
161,01200,Labalme,214,6453502.0,ADM4
162,01202,Lagnieu,7022,6424558.0,ADM4
163,01203,Laiz,1202,6424559.0,ADM4
164,01204,Le Poizat-Lalleyriat,703,6424560.0,ADM4
165,01205,Lancrans,1046,6424561.0,ADM4
166,01208,Lavours,129,6424563.0,ADM4
167,01209,Léaz,700,6424564.0,ADM4
168,01210,Lélex,227,6612203.0,ADM4
169,01212,Lescheroux,721,6424567.0,ADM4
170,01213,Leyment,1267,6424568.0,ADM4
171,01214,Leyssard,154,6424569.0,ADM4
172,01215,Lhôpital,47,6615622.0,ADM4
173,01216,Lhuis,887,6424570.0,ADM4
174,01218,Lochieu,93,6424571.0,ADM4
175,01219,Lompnas,167,6424572.0,ADM4
176,01221,Lompnieu,113,6424573.0,ADM4
177,01224,Loyettes,3145,6614240.0,ADM4
178,01225,Lurcy,387,6424575.0,ADM4
179,01227,Magnieu,473,6424576.0,ADM4
180,01228,Maillat,633,6424577.0,ADM4
181,01229,Malafretaz,1169,6424578.0,ADM4
182,01230,Mantenay-Montlin,308,6424579.0,ADM4
183,01231,Manziat,1988,6424580.0,ADM4
184,01232,Marboz,2215,6424581.0,ADM4
185,01233,Marchamp,130,6424582.0,ADM4
186,01234,Marignieu,173,6453504.0,ADM4
187,01235,Marlieux,1070,6424583.0,ADM4
188,01236,Marsonnas,989,6424584.0,ADM4
189,01237,Martignat,1600,6424585.0,ADM4
190,01238,Massieux,2516,6424586.0,ADM4
191,01239,Massignieu-de-Rives,624,6612204.0,ADM4
192,01240,Matafelon-Granges,647,6618064.0,ADM4
193,01241,Meillonnas,1316,6424588.0,ADM4
194,01242,Mérignat,121,6424589.0,ADM4
195,01243,Messimy-sur-Saône,1218,6615623.0,ADM4
196,01244,Meximieux,7655,6424590.0,ADM4
197,01245,Bohas-Meyriat-Rignat,878,6618063.0,ADM4
198,01246,Mézériat,2135,6424591.0,ADM4
199,01247,Mijoux,336,6612205.0,ADM4
200,01248,Mionnay,2138,6424593.0,ADM4
201,01250,Misérieux,1908,6424594.0,ADM4
202,01252,Mogneneins,773,6424595.0,ADM4
203,01254,Montagnat,1921,6424596.0,ADM4
204,01257,Montanges,344,6424597.0,ADM4
205,01258,Montceaux,1197,6424598.0,ADM4
206,01259,Montcet,667,6424599.0,ADM4
207,01260,Le Montellier,287,6455422.0,ADM4
208,01261,Monthieux,651,6424600.0,ADM4
209,01262,Montluel,7032,6424601.0,ADM4
210,01263,Montmerle-sur-Saône,3794,6618061.0,ADM4
211,01264,Montracol,1021,6424602.0,ADM4
212,01265,Montréal-la-Cluse,3409,6615625.0,ADM4
213,01266,Montrevel-en-Bresse,2439,6424603.0,ADM4
214,01267,Nurieux-Volognat,1028,6615626.0,ADM4
215,01268,Murs-et-Gélignieux,256,6424604.0,ADM4
216,01269,Nantua,3525,6424605.0,ADM4
