,city_names,matched_name,population,geonameid
139,Grand'Rivière,Beauséjour,0.0,11618751.0
140,Gros-Morne,Rocky Harbour,0.0,6126632.0
141,Le Lamentin,Mangot Vulcin,0.0,11601131.0
142,Le Lorrain,Le Vallon,0.0,11618741.0
143,Macouba,Cinquante Pas,0.0,11618809.0
144,Le Marigot,Duhamelin,0.0,3570780.0
145,Le Marin,La Huvet,0.0,3570503.0
146,Le Morne-Rouge,Fond Cacao,0.0,11620574.0
147,Le Prêcheur,Quartier du Cimetière,0.0,11620458.0
148,Rivière-Pilote,Pomponne,0.0,3570112.0
149,Rivière-Salée,Thoraille,0.0,3569844.0
150,Le Robert,South End,0.0,6619254.0
151,Sainte-Marie,Sainte-Marie,20380.0,3569926.0
152,La Trinité,Saint-Narcisse-de-Rimouski,0.0,11748150.0
153,Les Trois-Îlets,Concorde Leyritz,0.0,3570860.0
154,Le Vauclin,Le Vauclin,7812.0,3570392.0
155,Bellefontaine,Bellefontaine,13117.0,5146965.0
156,Régina,Regina,176183.0,6119109.0
157,Cayenne,Calimbe,0.0,10311622.0
158,Iracoubo,Cité Maripa,0.0,10370290.0
159,Kourou,Quartier des Deux Lacs,0.0,10367221.0
160,Macouria,Quesnel,0.0,3380531.0
161,Mana,Johnson,3634.0,4116660.0
162,Saint-Georges,Saint George,72897.0,5546220.0
163,Remire-Montjoly,Cité Beauregard,0.0,3382417.0
164,Roura,Holly Springs,7610.0,4430104.0
165,Saint-Laurent-du-Maroni,Camp Lorrain,0.0,10372497.0
166,Sinnamary,Sinnamary,3180.0,3380290.0
167,Montsinéry-Tonnegrande,Tonnégrande,0.0,3380167.0
168,Ouanary,Ouanary,0.0,3380796.0
169,Saül,Bellevue,0.0,3382400.0
170,Maripasoula,Maripasoula,0.0,3380994.0
171,Camopi,Camopi,1295.0,3382226.0
172,Grand-Santi,Ana Kondé,0.0,3382553.0
173,Saint-Élie,Saint-Élie,0.0,3380415.0
174,Apatou,Apatou,4752.0,3382527.0
175,Awala-Yalimapo,Coswine,0.0,3382012.0
176,Papaichton,Papaïchton,0.0,3380743.0
177,Les Avirons,Le Tévelave,0.0,935577.0
178,Bras-Panon,Îlet Payet,0.0,935760.0
179,Entre-Deux,Bras de Ponteau,0.0,936053.0
180,L' Étang-Salé,Les Canots,0.0,935604.0
181,Petite-Île,Charrié,0.0,11877157.0
182,Le Port,San Francisco,864816.0,5391959.0
183,Saint-Joseph,Dallas,0.0,4383236.0
184,Saint-Pierre,Saint-Pierre,6200.0,3424934.0
185,Sainte-Marie,Sainte-Marie,20380.0,3569926.0
186,Sainte-Suzanne,Sainte-Suzanne,1059.0,2980304.0
187,Salazie,Bras Sec,0.0,11877914.0
188,Le Tampon,La Plaine des Cafres,0.0,935695.0
189,Les Trois-Bassins,Maison Lelièvre,0.0,935547.0
190,Cilaos,Le Bras des Étangs,0.0,11877903.0
191,Saint-Martin,Fond Mahaut,0.0,6985383.0
